None,indicator_id,region_id,date,value
529,SSSM,845160,2011-02-28,166500.0
530,SSSM,845160,2011-01-31,170730.0
531,SSSM,845160,2010-12-31,177213.0
532,SSSM,845160,2010-11-30,175713.0
533,SSSM,845160,2010-10-31,178150.0
534,SSSM,845160,2010-09-30,178333.0
535,SSSM,845160,2010-08-31,176667.0
536,SSSM,845160,2010-07-31,178500.0
537,SSSM,845160,2010-06-30,180167.0
538,SSSM,845160,2010-05-31,181833.0
539,SSSM,845160,2010-04-30,173317.0
540,SSSM,845160,2010-03-31,179983.0
541,SSSM,845160,2010-02-28,182150.0
542,SSSM,845160,2010-01-31,189167.0
543,SSSM,845160,2009-12-31,186667.0
544,SSSM,845160,2009-11-30,196167.0
545,SSSM,845160,2009-10-31,206167.0
546,SSSM,845160,2009-09-30,209333.0
547,SSSM,845160,2009-08-31,206000.0
548,SSSM,845160,2009-07-31,201333.0
549,SSSM,845160,2009-06-30,203967.0
550,SSSM,845160,2009-05-31,200633.0
551,SSSM,845160,2009-04-30,201633.0
552,SSSM,845160,2009-03-31,206333.0
553,SSSM,845160,2009-02-28,212167.0
554,SSSM,845160,2009-01-31,216500.0
555,SSSM,845160,2008-12-31,218500.0
556,SSSM,845160,2008-11-30,233967.0
557,SSSM,845160,2008-10-31,242383.0
558,SSSM,845160,2008-09-30,241050.0
559,SSSM,845160,2008-08-31,232250.0
560,SSSM,845160,2008-07-31,239167.0
561,SSSM,845160,2008-06-30,249683.0
562,SSSM,845160,2008-05-31,252500.0
563,SSSM,845160,2008-04-30,248333.0
564,SSSM,845159,2023-08-31,431667.0
565,SSSM,845159,2023-07-31,421650.0
566,SSSM,845159,2023-06-30,389983.0
567,SSSM,845159,2023-05-31,364983.0
568,SSSM,845159,2023-04-30,338333.0
569,SSSM,845159,2023-03-31,328333.0
570,SSSM,845159,2023-02-28,298333.0
571,SSSM,845159,2023-01-31,289167.0
572,SSSM,845159,2022-12-31,277500.0
573,SSSM,845159,2022-11-30,296667.0
574,SSSM,845159,2022-10-31,297000.0
575,SSSM,845159,2022-09-30,292000.0
