None,indicator_id,region_id,date,value
452,SRSM,845160,2017-11-30,284000.0
453,SRSM,845160,2017-10-31,280000.0
454,SRSM,845160,2017-09-30,289000.0
455,SRSM,845160,2017-08-31,260000.0
456,SRSM,845160,2017-07-31,287000.0
457,SRSM,845160,2017-06-30,276500.0
458,SRSM,845160,2017-05-31,270500.0
459,SRSM,845160,2017-04-30,275000.0
460,SRSM,845160,2017-03-31,272500.0
461,SRSM,845160,2017-02-28,263750.0
462,SRSM,845160,2017-01-31,252500.0
463,SRSM,845160,2016-12-31,266500.0
464,SRSM,845160,2016-11-30,250000.0
465,SRSM,845160,2016-10-31,260000.0
466,SRSM,845160,2016-09-30,242500.0
467,SRSM,845160,2016-08-31,249000.0
468,SRSM,845160,2016-07-31,247500.0
469,SRSM,845160,2016-06-30,256950.0
470,SRSM,845160,2016-05-31,235000.0
471,SRSM,845160,2016-04-30,234500.0
472,SRSM,845160,2016-03-31,226500.0
473,SRSM,845160,2016-02-29,225000.0
474,SRSM,845160,2016-01-31,242400.0
475,SRSM,845160,2015-12-31,230000.0
476,SRSM,845160,2015-11-30,244500.0
477,SRSM,845160,2015-10-31,240000.0
478,SRSM,845160,2015-09-30,229000.0
479,SRSM,845160,2015-08-31,222500.0
480,SRSM,845160,2015-07-31,239900.0
481,SRSM,845160,2015-06-30,229000.0
482,SRSM,845160,2015-05-31,225000.0
483,SRSM,845160,2015-04-30,229500.0
484,SRSM,845160,2015-03-31,225000.0
485,SRSM,845160,2015-02-28,214000.0
486,SRSM,845160,2015-01-31,218000.0
487,SRSM,845160,2014-12-31,208000.0
488,SRSM,845160,2014-11-30,224500.0
489,SRSM,845160,2014-10-31,217500.0
490,SRSM,845160,2014-09-30,227000.0
491,SRSM,845160,2014-08-31,207000.0
492,SRSM,845160,2014-07-31,215000.0
493,SRSM,845160,2014-06-30,220000.0
494,SRSM,845160,2014-05-31,195000.0
495,SRSM,845160,2014-04-30,197500.0
496,SRSM,845160,2014-03-31,190000.0
497,SRSM,845160,2014-02-28,190000.0
498,SRSM,845160,2014-01-31,190000.0
499,SRSM,845160,2013-12-31,190000.0
500,SRSM,845160,2013-11-30,185000.0
501,SRSM,845160,2013-10-31,190000.0
502,SRSM,845160,2013-09-30,200000.0
503,SRSM,845160,2013-08-31,190000.0
504,SRSM,845160,2013-07-31,191250.0
505,SRSM,845160,2013-06-30,196000.0
506,SRSM,845160,2013-05-31,189000.0
507,SRSM,845160,2013-04-30,180000.0
508,SRSM,845160,2013-03-31,165000.0
509,SRSM,845160,2013-02-28,167900.0
510,SRSM,845160,2013-01-31,162500.0
511,SRSM,845160,2012-12-31,165550.0
512,SRSM,845160,2012-11-30,166500.0
513,SRSM,845160,2012-10-31,172250.0
514,SRSM,845160,2012-09-30,167250.0
515,SRSM,845160,2012-08-31,165000.0
516,SRSM,845160,2012-07-31,168000.0
517,SRSM,845160,2012-06-30,165000.0
518,SRSM,845160,2012-05-31,177500.0
519,SRSM,845160,2012-04-30,139500.0
520,SRSM,845160,2012-03-31,155000.0
521,SRSM,845160,2012-02-29,155000.0
522,SRSM,845160,2012-01-31,157000.0
523,SRSM,845160,2011-12-31,155407.0
524,SRSM,845160,2011-11-30,163250.0
525,SRSM,845160,2011-10-31,147400.0
526,SRSM,845160,2011-09-30,160000.0
527,SRSM,845160,2011-08-31,175500.0
528,SRSM,845160,2011-07-31,169900.0
529,SRSM,845160,2011-06-30,149900.0
530,SRSM,845160,2011-05-31,158000.0
531,SRSM,845160,2011-04-30,165000.0
532,SRSM,845160,2011-03-31,165000.0
533,SRSM,845160,2011-02-28,160000.0
534,SRSM,845160,2011-01-31,160000.0
535,SRSM,845160,2010-12-31,179500.0
536,SRSM,845160,2010-11-30,172689.0
537,SRSM,845160,2010-10-31,179450.0
538,SRSM,845160,2010-09-30,175000.0
539,SRSM,845160,2010-08-31,180000.0
540,SRSM,845160,2010-07-31,180000.0
541,SRSM,845160,2010-06-30,170000.0
542,SRSM,845160,2010-05-31,185500.0
543,SRSM,845160,2010-04-30,185000.0
544,SRSM,845160,2010-03-31,175000.0
545,SRSM,845160,2010-02-28,159950.0
546,SRSM,845160,2010-01-31,205000.0
547,SRSM,845160,2009-12-31,181500.0
548,SRSM,845160,2009-11-30,181000.0
549,SRSM,845160,2009-10-31,197500.0
550,SRSM,845160,2009-09-30,210000.0
551,SRSM,845160,2009-08-31,211000.0
552,SRSM,845160,2009-07-31,207000.0
553,SRSM,845160,2009-06-30,200000.0
554,SRSM,845160,2009-05-31,197000.0
555,SRSM,845160,2009-04-30,214900.0
556,SRSM,845160,2009-03-31,190000.0
557,SRSM,845160,2009-02-28,200000.0
558,SRSM,845160,2009-01-31,229000.0
559,SRSM,845160,2008-12-31,207500.0
560,SRSM,845160,2008-11-30,213000.0
561,SRSM,845160,2008-10-31,235000.0
562,SRSM,845160,2008-09-30,253900.0
563,SRSM,845160,2008-08-31,238250.0
564,SRSM,845160,2008-07-31,231000.0
565,SRSM,845160,2008-06-30,227500.0
566,SRSM,845160,2008-05-31,259000.0
567,SRSM,845160,2008-04-30,262550.0
568,SRSM,845160,2008-03-31,235950.0
569,SRSM,845160,2008-02-29,246500.0
570,SRSM,845159,2023-08-31,430000.0
571,SRSM,845159,2023-07-31,450000.0
572,SRSM,845159,2023-06-30,415000.0
573,SRSM,845159,2023-05-31,399950.0
574,SRSM,845159,2023-04-30,355000.0
575,SRSM,845159,2023-03-31,340000.0
576,SRSM,845159,2023-02-28,320000.0
577,SRSM,845159,2023-01-31,325000.0
578,SRSM,845159,2022-12-31,250000.0
579,SRSM,845159,2022-11-30,292500.0
580,SRSM,845159,2022-10-31,290000.0
581,SRSM,845159,2022-09-30,307500.0
582,SRSM,845159,2022-08-31,293500.0
583,SRSM,845159,2022-07-31,275000.0
584,SRSM,845159,2022-06-30,250000.0
585,SRSM,845159,2022-05-31,255000.0
586,SRSM,845159,2022-04-30,290500.0
587,SRSM,845159,2022-03-31,235000.0
588,SRSM,845159,2022-02-28,320000.0
589,SRSM,845159,2022-01-31,287000.0
590,SRSM,845159,2021-12-31,300000.0
591,SRSM,845159,2021-11-30,247450.0
592,SRSM,845159,2021-10-31,252300.0
593,SRSM,845159,2021-09-30,270000.0
594,SRSM,845159,2021-08-31,239900.0
595,SRSM,845159,2021-07-31,299000.0
596,SRSM,845159,2021-06-30,260000.0
597,SRSM,845159,2021-05-31,235000.0
598,SRSM,845159,2021-04-30,275000.0
599,SRSM,845159,2021-03-31,169000.0
600,SRSM,845159,2021-02-28,253850.0
601,SRSM,845159,2021-01-31,200000.0
602,SRSM,845158,2023-08-31,215000.0
603,SRSM,845158,2023-07-31,225000.0
604,SRSM,845158,2023-06-30,217000.0
605,SRSM,845158,2023-05-31,210000.0
606,SRSM,845158,2023-04-30,205000.0
607,SRSM,845158,2023-03-31,180000.0
608,SRSM,845158,2023-02-28,189950.0
609,SRSM,845158,2023-01-31,176000.0
610,SRSM,845158,2022-12-31,175000.0
611,SRSM,845158,2022-11-30,180000.0
612,SRSM,845158,2022-10-31,182500.0
613,SRSM,845158,2022-09-30,183500.0
614,SRSM,845158,2022-08-31,191500.0
615,SRSM,845158,2022-07-31,200800.0
616,SRSM,845158,2022-06-30,218411.0
617,SRSM,845158,2022-05-31,210000.0
618,SRSM,845158,2022-04-30,188000.0
619,SRSM,845158,2022-03-31,172250.0
620,SRSM,845158,2022-02-28,170000.0
621,SRSM,845158,2022-01-31,170000.0
622,SRSM,845158,2021-12-31,179900.0
623,SRSM,845158,2021-11-30,174900.0
624,SRSM,845158,2021-10-31,175000.0
625,SRSM,845158,2021-09-30,174750.0
626,SRSM,845158,2021-08-31,175000.0
627,SRSM,845158,2021-07-31,185000.0
